Station_Name,Latitude,Longitude,State,Town,Power_kW
Bolt.Earth,21.0984032,86.52668419999999,Odisha,,7.4
Ather Grid Charging Station,21.071771,86.49831999999999,Odisha,,1.100000023841858
Jio-bp pulse Charging Station,21.070288100000003,86.4970845,Odisha,,7.4
Jio-bp pulse Charging Station,20.9758779,86.4012231,Odisha,,7.4
Tata Power Charging Station,21.069810000000004,86.496256,Odisha,,30.0
Ather Grid Charging Station,21.104305,86.532646,Odisha,,1.1
Ather Grid Charging Station,20.9362048,86.1646624,Odisha,,1.100000023841858
Tata Power Charging Station,20.918958699999997,86.2169684,Odisha,,25.0
Electric Vehicle Charging Station,20.986724199999998,85.98919599999999,Odisha,,0.0
Tata Power Charging Station,20.9502562,85.989753,Odisha,,7.4
BPCL Charging Station,21.068530799999998,82.3617326,Odisha,,30.0
EESL Charging Station,21.163620599999998,81.78835800000002,Odisha,,0.0
Tata Power Charging Station,21.161282099999998,81.796672,Odisha,,7.4
EESL Charging Station,21.161336799999997,81.7964476,Odisha,,0.0
BPCL Charging Station,21.0784588,81.7518659,Odisha,,30.0
Ather Grid Charging Station,21.134089499999998,81.7723539,Odisha,,1.100000023841858
BPCL Charging Station,21.0435101,81.7320747,Odisha,,30.0
Om sai corporation e rickshaw,21.047829399999998,81.53317779999999,Odisha,,0.0
Electric Vehicle Charging Station,21.035982,81.54613220000002,Odisha,,0.0
Electric Vehicle Charging Station,21.0161093,81.7029005,Odisha,,0.0
Hindustan Petroleum Corporation Limited,20.838154,86.30842299999999,Odisha,,0.0
Ather Grid Charging Station,20.703937099999997,86.1341964,Odisha,,1.100000023841858
Jio-bp pulse Charging Station,20.752399,86.150857,Odisha,,7.4
Electric Vehicle Charging Station,20.6581671,86.11731379999999,Odisha,,0.0
Ampere EV by Greaves - Green Wheels,20.694237899999997,86.1328793,Odisha,,0.0
BPCL Charging Station,20.656229,86.112809,Odisha,,30.0
Ather Grid Charging Station,20.669519899999997,85.5922933,Odisha,,1.100000023841858
Jio-bp,20.8014756,85.5434702,Odisha,,7.4
Tata Power Charging Station,20.8317557,85.24166029999999,Odisha,,25.0
Thunder Plus Charging Station,20.8317352,85.2416586,Odisha,,15.0
Tata Power Ez Charging Station,20.832793199999998,85.23828859999999,Odisha,,30.0
Ather Grid Charging Station,20.832794,85.085236,Odisha,,1.100000023841858
Tata Power Charging Station,20.8450685,85.1162026,Odisha,,7.400000095367432
Hindustan Petroleum Corporation Limited Charging Station,20.8235109,85.0620926,Odisha,,30.0
Hindustan Petroleum Corporation Limited,20.8234079,85.06204989999999,Odisha,,0.0
Jio-bp,20.80489,84.03399,Odisha,,7.4
Electric Vehicle Charging Station,20.857754099999998,83.94418209999999,Odisha,,0.0
Electric Vehicle Charging Station,20.8471861,83.89413499999999,Odisha,,0.0
